Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
Magnetic Guidance for Improved Cochlear-Implant Insertion,NIDCD,9530617,5R01DC013168-05,5,R01,DC,13168,5,,,10196795,"ABBOTT, JAKE ",Not Applicable,UNIVERSITY OF UTAH,,2018,371716,
Personalized multimedication packaging with integrated real-time instrumentation to improve adherence,NCATS,9846816,1R43TR003071-01,1,R43,TR,3071,1,,,11315234,"ACWORTH, EDWARD ",Not Applicable,INSIGHTFIL,,2019,225000,
Optimizing Hand Rehabilitation Post-Stroke Using Interactive Virtual Environments,NICHD,9951071,5R01HD058301-08,5,R01,HD,58301,8,,,6880279,"ADAMOVICH, SERGEI V ","BARRETT, A. M.;MERIANS, ALMA S;TUNIK, EUGENE ",NEW JERSEY INSTITUTE OF TECHNOLOGY,,2020,689747,
High Throughput Screening of Agents in Bladder Cancer Cell Lines,NCI,10015073,1ZICBC011531-07,1,ZIC,CA,11531,7,,,9849385,"AGARWAL, PIYUSH ",Not Applicable,,,2019,96285,
Cardiothoracic Surgical Trials Network Linked Clinical Research Centers for Virginia and West Virginia,NHLBI,9899287,5UM1HL088925-13,5,UM1,HL,88925,13,,,9776548,"AILAWADI, GORAV  ","BADHWAR, VINAY ",UNIVERSITY OF VIRGINIA,,2020,591162,
Phenotypic variability within isogenic population of lymphocytes,NCI,10014789,1ZIABC011726-04,1,ZIA,CA,11726,4,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,,,2019,115681,
Cognitive neural prosthetics for clinical applications,NEI,9900009,5R01EY015545-15,5,R01,EY,15545,15,,,6252531,"ANDERSEN, RICHARD A",Not Applicable,CALIFORNIA INSTITUTE OF TECHNOLOGY,,2020,660093,
Dexterous BMIs for tetraplegic humans utilizing somatosensory cortex stimulation,NINDS,9548752,5U01NS098975-03,5,U01,NS,98975,3,,,6252531,"ANDERSEN, RICHARD A",Not Applicable,CALIFORNIA INSTITUTE OF TECHNOLOGY,,2018,651365,
Establishing efficient technologies for ovarian cancer organoid derivation from fresh tumor resections,NCI,9795857,1R21CA240219-01,1,R21,CA,240219,1,,,10414974,"ANDRES-MARTIN, LAURA ",Not Applicable,NEW YORK STEM CELL FOUNDATION,,2019,195750,
Using gravity to perceive; move and orient,NCCIH,9832688,5R01AT010459-02,5,R01,AT,10459,2,,,1863454,"ANGELAKI, DORA ",Not Applicable,NEW YORK UNIVERSITY,,2020,698345,
ARALDI; GIAN LUCA:1238759 [18-006556],NIDA,9915609,271201400011I-P00001-27100005-1,,N02,DA,,,,,15974954,"ARALDI, GIAN LUCA ",Not Applicable,,,2019,24300,
Image-Guided Workstation and Tools for Bone Defects,NIBIB,9998938,5R01EB016703-06,5,R01,EB,16703,6,,,7683871,"ARMAND, MEHRAN ",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2020,405854,
Biomarkers Core (Core E),NIA,9934663,2P01AG036694-11,2,P01,AG,36694,11,,5483,1860155,"ARNOLD, STEVEN E",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2020,,140001
Center for Undiagnosed Diseases at Stanford,NHGRI,9980967,5U01HG010218-03,5,U01,HG,10218,3,,,8334480,"ASHLEY, EUAN A ","BERNSTEIN, JONATHAN ;FISHER, PAUL GRAHAM;WHEELER, MATTHEW THOMAS",STANFORD UNIVERSITY,,2020,1100000,
Physical Function/Biomechanics Core,NIAMS,9898136,1U19AR076737-01,1,U19,AR,76737,1,,5002,12250821,"BAILEY, JEANNIE FERN",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2019,,2053581
Development of a FRET based Bile Salt Export Pump Inhibition Liposomal Assay,NIGMS,9847668,2R44GM110858-02A1,2,R44,GM,110858,2,A1,,12657572,"BANSAL, PRAVEEN  ","MELCHIOR, DONALD LEE","TFC BIOSCIENCES, INC.",,2019,710211,
Mechanisms and Rehabilitation of Cerebellar Ataxia,NICHD,9900035,5R01HD040289-17,5,R01,HD,40289,17,,,1950418,"BASTIAN, AMY J.",Not Applicable,HUGO W. MOSER RES INST KENNEDY KRIEGER,,2020,427048,
Development of a Surgical Simulator for Endovascular Access Training,NHLBI,9766350,5R44HL132665-03,5,R44,HL,132665,3,,,12500956,"BEASLEY, RYAN ANDREW",Not Applicable,"SIMQUEST INTERNATIONAL, LLC",,2019,1013478,
Independent Exoskeleton-Use through Robust Stand-to-Sit Safety,NIA,9560683,5R44AG057267-02,5,R44,AG,57267,2,,,12005155,"BECKER, ADAM ",Not Applicable,"INNOVATIVE DESIGN LABS, INC.",,2019,806285,
Robot-Assisted Cognitive Training for Socially Isolated Older Adults with Mild Cognitive Impairment,NIA,9991722,5R42AG060800-03,5,R42,AG,60800,3,,,11993517,"BEER, JENAY M",Not Applicable,APPLIED UNIVERSAL DYNAMICS CORPORATION,,2020,1981401,
Robotic Hand Orthosis Providing Grasp Assistance for Patients with Brachial Plexus Injuries,NICHD,9925800,5R21HD095027-02,5,R21,HD,95027,2,,,10677211,"BEN-TZVI, PINHAS ",Not Applicable,VIRGINIA POLYTECHNIC INST AND ST UNIV,,2020,181846,
CPS: Autonomous Attainment of Tissue-Centricity in  Electrosurgery through Data-Driven Persistently Evolving Thermogeometric Adaptivity,NIBIB,10019390,5R01EB029766-02,5,R01,EB,29766,2,,,16091190,"BENTSMAN, JOSEPH ",Not Applicable,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,,2020,337331,
Biomarkers Advance Technology Core,NIAID,9922252,5P30AI124414-05,5,P30,AI,124414,5,,7333,1891039,"BERMAN, JOAN WEINBERGER",Not Applicable,ALBERT EINSTEIN COLLEGE OF MEDICINE,,2020,,246204
Synchronized brain dynamics and eye movement trajectory for objective evaluation of robot-assisted surgical skills,NIBIB,9939074,1R01EB029398-01,1,R01,EB,29398,1,,,15812822,"BESHARAT SHAFIEI, SOMAYEH ",Not Applicable,ROSWELL PARK CANCER INSTITUTE CORP,,2020,393075,
2019 STONE LAB SCIENTIFIC SYMPOSIUM: THINKING OUTSIDE THE BOX FOR KIDNEY STONE DISEASE,NIDDK,9914630,1U13DK124023-01,1,U13,DK,124023,1,,,12281735,"BEST, CAROLYN JOY MORRIS",Not Applicable,AMERICAN UROLOGICAL ASSOCIATION,,2019,10000,
Automated end-to-end retinal screening system with robotic image capture and deep learning analysis,NEI,9847891,1R43EY029652-01A1,1,R43,EY,29652,1,A1,,12520653,"BHASKARANAND, MALAVIKA ",Not Applicable,"EYENUK, INC.",,2019,218618,
Towards Autonomy in Daily Living: A Formalism for Intelligent Assistive Feeding Systems,NICHD,9907705,1F32HD101192-01,1,F32,HD,101192,1,,,15922511,"BHATTACHARJEE, TAPOMAYUKH ",Not Applicable,UNIVERSITY OF WASHINGTON,,2020,65310,
A Genes-to-Molecules Platform for Expanding Natural Product Diversity,NCCIH,9918085,1R41AT010852-01,1,R41,AT,10852,1,,,16417348,"BOLES, KENT S ","MITCHELL, DOUGLAS ALAN","LASSOGEN, INC.",,2020,225000,
A Biomimetic Approach Towards a Dexterous Neuroprosthesis,NINDS,9792278,5UH3NS107714-02,5,UH3,NS,107714,2,,,1896456,"BONINGER, MICHAEL L.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,1671570,
The Role of M1 Leg Area in Volitional and Stereotyped Control of the Lower Limb,VA,9966772,5I01RX002835-02,5,I01,VA,2835,2,,,10584722,"BORTON, DAVID ALLENSON",Not Applicable,PROVIDENCE VA  MEDICAL CENTER,,2019,,
Functional Dissection of Alzheimer's Disease Networks in Drosophila: from Association to   Causal Modulators of Age-Dependent Neurodegeration,NIA,9932259,5R01AG057339-04,5,R01,AG,57339,4,,,7354270,"BOTAS, JUAN  ","LIU, ZHANDONG ;SEYFRIED, NICHOLAS THOMAS;SHULMAN, JOSHUA M",BAYLOR COLLEGE OF MEDICINE,,2020,719765,
Development of a versatile robotic radiation therapy system,NCI,9671861,5R44CA183390-04,5,R44,CA,183390,4,,,9173315,"BOUCHER, SALIME  ","SHENG, KE ","RADIABEAM TECHNOLOGIES, LLC",,2019,432270,
Novel Platforms for Systematic Optical Control of Complex Neural Circuits In Vivo,NIDA,9973808,2R01DA029639-09,2,R01,DA,29639,9,,,8840558,"BOYDEN, EDWARD S.",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,645432,
Scalable Cell- and Circuit-Targeted Electrophysiology,NINDS,9893932,5R01NS102727-04,5,R01,NS,102727,4,,,8840558,"BOYDEN, EDWARD S. ","FOREST, CRAIG ",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,566267,
Rapid Automated High-Throughput Radiation Biodosimetry,NIAID,9753871,5U19AI067773-15,5,U19,AI,67773,15,,5193,1868601,"BRENNER, DAVID JONATHAN",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2019,,736470
Center for High-Throughput Minimally-Invasive Radiation Biodosimetry,NIAID,9753850,5U19AI067773-15,5,U19,AI,67773,15,,,1868601,"BRENNER, DAVID JONATHAN",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2019,6500130,
Dynamically Controlled Plasma Scalpel for Wound Debridement,NIBIB,9516325,1R15EB024930-01A1,1,R15,EB,24930,1,A1,,11333997,"BROWNING, JIM ",Not Applicable,BOISE STATE UNIVERSITY,,2018,362242,
Developmental Research Program,NCI,9753002,5P50CA196516-04,5,P50,CA,196516,4,,6946,1879305,"BRUGAROLAS, JAMES ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER,,2019,,166562
Drug Development Core Shared Resource,NCI,9923033,5P30CA014520-46,5,P30,CA,14520,46,,8548,6360854,"BUGNI, TIMOTHY S",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2020,,219181
Image-guided ultrasound ablation for precision targeting of prostate cancer,NCI,9757727,5R01CA230323-02,5,R01,CA,230323,2,,,8495898,"BURDETTE, EVERETTE C ","DIEDERICH, CHRIS JOHN","ACOUSTIC MEDSYSTEMS, INC.",,2019,566389,
Large-scale reprogramming and expression analysis of patient-derived neural cells in schizophrenia,NIMH,9926728,5R01MH111679-04,5,R01,MH,111679,4,,,1875448,"BUXBAUM, JOSEPH D. ","BRENNAND, KRISTEN JENNIFER",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,804759,
Development of a High Throughput Method for Vitrification,NCATS,10019053,1R43TR003258-01,1,R43,TR,3258,1,,,3104816,"CAMPBELL, LIA H",Not Applicable,"TISSUE TESTING TECHNOLOGIES, LLC",,2020,275302,
OPTIMIZATION AND EVALUATION OF A SELF-LEVELING POWER WHEELCHAIR FOR TIP PREVENTION,VA,9833708,1IK1RX003076-01A1,1,IK1,VA,3076,1,A1,,14525673,"CANDIOTTI, JORGE ",Not Applicable,VETERANS HEALTH ADMINISTRATION,,2020,,
Antioxidative Microelectrodes to Improve Neural Recording Performance,VA,9942272,5I01RX002611-03,5,I01,VA,2611,3,,,9471964,"CAPADONA, JEFFREY R",Not Applicable,LOUIS STOKES CLEVELAND VA MEDICAL CENTER,,2020,,
RR&D Research Career Scientist Award Application,VA,9838097,5IK6RX003077-02,5,IK6,VA,3077,2,,,9471964,"CAPADONA, JEFFREY R",Not Applicable,LOUIS STOKES CLEVELAND VA MEDICAL CENTER,,2020,,
Enabling Routine Sub-Micron Spatial Resolution IMS (pp 413-460),NIGMS,9842537,5P41GM103391-10,5,P41,GM,103391,10,,8142,6691073,"CAPRIOLI, RICHARD M",Not Applicable,VANDERBILT UNIVERSITY,,2020,,303151
Research Training in Otolaryngology,NIDCD,9935333,2T32DC000027-31A1,2,T32,DC,27,31,A1,,8831141,"CAREY, JOHN PATRICK",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2020,322209,
Real-Time MRI Guided Robotic Catheter System for Atrial Fibrillation Ablation,NHLBI,10025825,1R01HL153034-01,1,R01,HL,153034,1,,,8596680,"CAVUSOGLU, M. CENK  ","GRISWOLD, MARK ;SEIBERLICH, NICOLE ",CASE WESTERN RESERVE UNIVERSITY,,2020,709241,
Flow Cytometry,NCI,9937091,2P30CA014051-49,2,P30,CA,14051,49,,6148,1862438,"CHEN, JIANZHU ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,,232541
Groundwork for a Synchrotron MicroCT Imaging Resource for Biology (SMIRB),OD,9792960,2R24OD018559-05,2,R24,OD,18559,5,,,1930722,"CHENG, KEITH CHI",Not Applicable,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,,2019,667280,
Genomic incorporation of stapled peptides for cost effective discovery and synthesis of novel therapeutics,NCI,9909733,1F32CA247274-01,1,F32,CA,247274,1,,,12082161,"CHORY, EMMA J",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,64926,
Core B: Biorepository Core,NIGMS,9843718,5P20GM104416-08,5,P20,GM,104416,8,,6369,10406548,"CHRISTENSEN, BROCK CLARKE",Not Applicable,DARTMOUTH COLLEGE,,2020,,456493
Biospecimens Accessioning and Processing Shared Resource,NCI,9938456,5P30CA015083-46,5,P30,CA,15083,46,,7659,10374147,"CICEK, MINE ",Not Applicable,MAYO CLINIC ROCHESTER,,2020,,134326
SCH: INT: An Adaptive Robotic Hand Orthosis with Multimodal Sensing and Continuous Learning ,NINDS,9929143,1R01NS115652-01,1,R01,NS,115652,1,,,12337607,"CIOCARLIE, MATEI  ","STEIN, JOEL ",COLUMBIA UNIV NEW YORK MORNINGSIDE,,2019,290357,
Investigating the Role of the Tumor MicroEnvironment in Resistance of Urothelial Carcinoma of the Bladder to FGFR3 Inhibition,NCI,9856141,5F30CA206333-04,5,F30,CA,206333,4,,,11088307,"CLAUNCH-RABE, CHERYL ",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2020,50520,
Pneumatic Drill and Robot for MRI-Guided Pediatrics Long Bone Biopsy,NCI,9941626,1R01CA248191-01,1,R01,CA,248191,1,,,3054713,"CLEARY, KEVIN R. ","SHARMA, KARUN V",CHILDREN'S RESEARCH INSTITUTE,,2020,631110,
MRI Compatible Body-Mounted Robot to Streamline Pediatric Shoulder Arthrography,NIBIB,9739087,5R01EB020003-04,5,R01,EB,20003,4,,,3054713,"CLEARY, KEVIN R.",Not Applicable,CHILDREN'S RESEARCH INSTITUTE,,2019,405233,
MRI Compatible Robot for Improved Pain Injections in Adults and Children,NIBIB,9906929,5R01EB025179-03,5,R01,EB,25179,3,,,3054713,"CLEARY, KEVIN R.",Not Applicable,CHILDREN'S RESEARCH INSTITUTE,,2020,741739,
CRCNS: Sensory-Motor Integration in Mammalian Brian: experiment; analysis; modeling,NINDS,9730639,5R01NS100049-04,5,R01,NS,100049,4,,,7859011,"COIFMAN, RONALD R",Not Applicable,YALE UNIVERSITY,,2019,205290,
Context-dependent processing in sensorimotor cortex,NINDS,9791028,5U01NS108922-02,5,U01,NS,108922,2,,,10434703,"COLLINGER, JENNIFER L.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,570817,
Comparative mechanistic study of developmental neurotoxicity of organophosphorus pesticides,NIEHS,9880348,1R15ES031354-01,1,R15,ES,31354,1,,,10511585,"COLLINS, EVA-MARIA SCHOETZ",Not Applicable,SWARTHMORE COLLEGE,,2020,369461,
Quantitative Single-Cell Assessment of Lentivirus Susceptibility Determinants,NCI,10014826,1ZIABC011778-03,1,ZIA,CA,11778,3,,,15201721,"COMPTON, ALEX ",Not Applicable,,,2019,332912,
SampleStream: A Radically Simplified Platform for Protein Sample Preparation,NIGMS,9873977,5R44GM121130-03,5,R44,GM,121130,3,,,12516995,"COMPTON, PHILIP DANIEL",Not Applicable,"INTEGRATED PROTEIN TECHNOLOGIES, INC.",,2020,321321,
Environmental Imaging and Control for Exoskeletons to Improve Safety and Mobility,NIA,9570624,5R44AG053890-03,5,R44,AG,53890,3,,,10758615,"CONDON, JOHN PAUL",Not Applicable,"INNOVATIVE DESIGN LABS, INC.",,2019,814735,
Assessment of in vivo tendon tissue behavior in a pediatric population,NIAMS,9991063,1F32AR076267-01A1,1,F32,AR,76267,1,A1,,14399733,"CONE, STEPHANIE ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2020,64554,
CCR Genomics Core,NCI,10015082,1ZICBC011623-05,1,ZIC,CA,11623,5,,,14280419,"CONNER, ELIZABETH ",Not Applicable,,,2019,886180,
Precision Gait Retraining for Children with Cerebral Palsy,NICHD,9844695,1R43HD100209-01,1,R43,HD,100209,1,,,10454634,"CONTESSA, PAOLA ",Not Applicable,"ALTEC, INC.",,2019,295297,
TB Diagnostics at the Point of Care,NIAID,9754783,5R44AI138903-07,5,R44,AI,138903,7,,,9441551,"COONEY, CHRISTOPHER GERARD",Not Applicable,"AKONNI BIOSYSTEMS, INC.",,2019,999998,
Institute for Clinical and Translational Science,NCATS,9978161,5UL1TR001414-06,5,UL1,TR,1414,6,,,1870931,"COOPER, DAN M",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2020,3604234,
National Drug Early Warning System Coordinating Center,NIDA,9995237,1U01DA051126-01,1,U01,DA,51126,1,,,1871253,"COTTLER, LINDA B.",Not Applicable,UNIVERSITY OF FLORIDA,,2020,702041,
An Improved Intra-Arterial Delivery Platform for Glioblastoma Multiforme,NCI,9904911,1R43CA239945-01A1,1,R43,CA,239945,1,A1,,9793533,"CREIGHTON, FRANCIS MILTON ","GREENSPAN, DAVID C","UNANDUP, LLC",,2020,299946,
An Improved Robotic Electrophysiology Platform for Arrhythmia Ablation,NHLBI,9777244,1R43HL147745-01,1,R43,HL,147745,1,,,9793533,"CREIGHTON, FRANCIS MILTON",Not Applicable,"UNANDUP, LLC",,2019,349865,
Acute Ischemic Stroke Neuroprotection Platform to overcome Care Disparities for Rural Populations,NIMHD,9794241,1R43MD014092-01,1,R43,MD,14092,1,,,9793533,"CREIGHTON, FRANCIS MILTON",Not Applicable,"UNANDUP, LLC",,2019,299414,
A Remotely-Operated Robotic Endovascular Platform to Improve Thrombectomy Access,NINDS,10153411,3R43NS112035-01S2,3,R43,NS,112035,1,S2,,9793533,"CREIGHTON, FRANCIS MILTON",Not Applicable,"UNANDUP, LLC",,2020,11026,
ICorps Administrative Supplement for A Remotely-Operated Robotic Endovascular Platform to Improve Thrombectomy Access,NINDS,10045638,3R43NS112035-01S1,3,R43,NS,112035,1,S1,,9793533,"CREIGHTON, FRANCIS MILTON",Not Applicable,"UNANDUP, LLC",,2020,55000,
A Remotely-Operated Robotic Endovascular Platform to Improve Thrombectomy Access,NINDS,9776968,1R43NS112035-01,1,R43,NS,112035,1,,,9793533,"CREIGHTON, FRANCIS MILTON",Not Applicable,"UNANDUP, LLC",,2019,349871,
Pre-Clinical Development of an Instrumented Trapezium Carpal Bone,NIAMS,9955950,1R21AR077201-01,1,R21,AR,77201,1,,,1898975,"CRISCO, JOSEPH J",Not Applicable,RHODE ISLAND HOSPITAL,,2020,247940,
Evolution of cell cycle control: triangulating the last eukaryotic common ancestor,NIGMS,9792385,5R01GM078153-10,5,R01,GM,78153,10,,,1862338,"CROSS, FREDERICK R.",Not Applicable,ROCKEFELLER UNIVERSITY,,2019,339000,
Center for Research and Education on Aging and Technology Enhancement - CREATE IV,NIA,9687625,5P01AG017211-21,5,P01,AG,17211,21,,,1875454,"CZAJA, SARA J.",Not Applicable,WEILL MEDICAL COLL OF CORNELL UNIV,,2019,1527245,
A preclinical multi-modal system for dynamic noninvasive assessment of liver disease,NIDDK,9932688,3R44DK112492-03S1,3,R44,DK,112492,3,S1,,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ","SONOVOL, INC.",,2019,152047,
A preclinical multi-modal system for dynamic noninvasive assessment of liver disease,NIDDK,9691347,5R44DK112492-03,5,R44,DK,112492,3,,,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ","SONOVOL, INC.",,2019,826935,
Whole-organ bioreactor with integrated nondestructive 3D molecular imaging,NHLBI,9591214,4R44HL138185-02,4,R44,HL,138185,2,,,11463912,"CZERNUSZEWICZ, TOMASZ JOSEPH ","GESSNER, RYAN ","SONOVOL, INC.",,2019,1072918,
Molecular Screening Shared Resource (MSSR),NCI,9936716,2P30CA016042-44,2,P30,CA,16042,44,,5976,9807690,"DAMOISEAUX, ROBERT ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2020,,273137
An Intracortical Brain-Computer Interface Model for High Efficiency Development of Closed-Loop Neural Decoding Algorithms,NINDS,9995591,5R01NS109257-02,5,R01,NS,109257,2,,,9553574,"DANZIGER, ZACHARY C",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY,,2020,327626,
Radiation Sterilizable; RFID Tagged Vials for Biomedical Samples,OD,9844006,5R44OD020162-05,5,R44,OD,20162,5,,,8672072,"DAVIDOWITZ, HANAN ",Not Applicable,"BIO TILLION, LLC",,2020,999280,
Suite of high content assays for mitochondrial dynamics in neurons,NIMH,9717281,5R01MH109957-04,5,R01,MH,109957,4,,,7353716,"DAVIS, RONALD L",Not Applicable,SCRIPPS FLORIDA,,2019,622806,
A novel mechanics-based intervention to improve post-stroke gait stability,VA,9823784,5I01RX002256-04,5,I01,VA,2256,4,,,9947238,"DEAN, JESSE C.",Not Applicable,RALPH H JOHNSON VA MEDICAL CENTER,,2020,,
National Center for Simulation in Rehabilitation Research,NICHD,9729748,5P2CHD065690-10,5,P2C,HD,65690,10,,,1896140,"DELP, SCOTT L",Not Applicable,STANFORD UNIVERSITY,,2019,1055270,
Image-guided Intravascular Robotic System for Mitral Valve Repair and Implants,NHLBI,9872201,5R01HL140325-03,5,R01,HL,140325,3,,,8002452,"DESAI, JAYDEV P. ","FEI, BAOWEI ;PADALA, SAI MURALIDHAR ",GEORGIA INSTITUTE OF TECHNOLOGY,,2020,732577,
Ultrasound-guided; Robotically Steerable Guidewire for Endovascular Interventions,NHLBI,9914884,5R01HL144714-02,5,R01,HL,144714,2,,,8002452,"DESAI, JAYDEV P.",Not Applicable,GEORGIA INSTITUTE OF TECHNOLOGY,,2020,716587,
Interdisciplinary Engineering Career Development Center in Movement and Rehabilitation Sciences,NICHD,9767805,5K12HD073945-08,5,K12,HD,73945,8,,,1974015,"DEWALD, JULIUS P ","REINKENSMEYER, DAVID JAY",NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,771667,
Core 3: Instrumentation and Software Resource Core,NINDS,9971617,5U19NS104655-04,5,U19,NS,104655,4,,8326,7555705,"DICKINSON, MICHAEL H",Not Applicable,CALIFORNIA INSTITUTE OF TECHNOLOGY,,2020,,210104
Development of Vision-Guided Shared Control for Assistive Robotic Manipulators,VA,9950631,1I01RX003242-01A1,1,I01,VA,3242,1,A1,,8080631,"DING, DAN ",Not Applicable,VETERANS HEALTH ADMINISTRATION,,2020,,
Regulation of arterial diameter through specific sensing of endogenous steroids and novel nonsteroidal analogs by BK channel subunits,NHLBI,9894850,5R01HL147315-02,5,R01,HL,147315,2,,,1861056,"DOPICO, ALEX M.",Not Applicable,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,,2020,599700,
Core B - Protein Expression and Cell Culture Core,NCI,10014600,5P01CA098993-14,5,P01,CA,98993,14,,5916,6478168,"DOUBLIE, SYLVIE ",Not Applicable,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,,2020,,251469
Protein Expression and Purification,NCI,9934676,1P01CA247773-01,1,P01,CA,247773,1,,5493,6478168,"DOUBLIE, SYLVIE ",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL,,2020,,221293
Optimization of microparticle-based topical treatments for treating erectile dysfunction in patients refractory to oral PDE5 inhibitors,NIDDK,9776257,1R41DK121587-01,1,R41,DK,121587,1,,,14514077,"DRAGANSKI, ANDREW R ","DAVIES, KELVIN P","ZYLO THERAPEUTICS, INC.",,2019,225000,
Stroke Central Atlantic Network for Research (SCANR),NINDS,9755524,5U24NS107222-02,5,U24,NS,107222,2,,,15230241,"DROMERICK, ALEXANDER WALTER ","HSIA, AMIE ;WORRALL, BRADFORD B",MEDSTAR HEALTH RESEARCH INSTITUTE,,2019,317967,
Tauopathy in AD and FTD - Molecular Determinants of Phenotypic Diversity,NIA,9473194,1RF1AG056151-01A1,1,RF1,AG,56151,1,A1,,6433141,"DUFF, KAREN  ","CARLSON, GEORGE A.;FINKBEINER, STEVEN M",COLUMBIA UNIVERSITY HEALTH SCIENCES,,2017,4102378,
Hybrid Drug-Eluting Microfluidic Neural Probe for Chronic Drug Infusion,VA,9881191,5I01RX003083-02,5,I01,VA,3083,2,,,11209430,"DUNNING, ALLISON HESS ","CAPADONA, JEFFREY R",LOUIS STOKES CLEVELAND VA MEDICAL CENTER,,2020,,
Improving the Safety and Efficacy of Intraventricular Neurosurgery via Robotics,NINDS,9908191,5R01NS099207-04,5,R01,NS,99207,4,,,8631144,"DUPONT, PIERRE E",Not Applicable,BOSTON CHILDREN'S HOSPITAL,,2020,472004,
