Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
ShEEP Request for Fully Automated Perifusion System,VA,9905782,1IS1BX005049-01,1,IS1,VA,5049,1,,,1888096,"KAHN, STEVEN EMANUEL",Not Applicable,VA PUGET SOUND HEALTHCARE SYSTEM,,2019,,
Protein Production Shared Resources Core,NCI,9883745,5P30CA021765-41,5,P30,CA,21765,41,,5525,8035200,"KALODIMOS, CHARALAMPOS ",Not Applicable,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,,2020,,232655
3D Intestinal Tissues,NIAID,9893797,5U19AI131126-04,5,U19,AI,131126,4,,6596,2059300,"KAPLAN, DAVID L.",Not Applicable,TUFTS UNIVERSITY BOSTON,,2020,,258132
Multimodal Exercise and Weight Loss in Older Veterans with Dysmobility,VA,9786077,5I01RX001813-04,5,I01,VA,1813,4,,,1901034,"KATZEL, LESLIE I.",Not Applicable,BALTIMORE VA MEDICAL CENTER,,2020,,
Automated processing and manipulation of small samples for high throughput and ultrasensitive functional proteomics measurements,NIGMS,9745627,5P41GM103493-17,5,P41,GM,103493,17,,5526,9825066,"KELLY, RYAN T",Not Applicable,BATTELLE PACIFIC NORTHWEST LABORATORIES,,2019,,255982
PCOS and androgen-related disease modeling and drug testing in Multi-organ Integrated Microfluidic Reproductive Platform,NIEHS,9993725,4UH3ES029073-03,4,UH3,ES,29073,3,,,7096766,"KIM, JI-YONG JULIE",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,1196186,
Adaptive ankle robot control system to reduce foot-drop in chronic stroke,VA,10174743,5I01RX001699-06,5,I01,VA,1699,6,,,1958950,"KITTNER, STEVEN J",Not Applicable,BALTIMORE VA MEDICAL CENTER,,2020,,
RR&D Research Career Scientist Award Application,VA,9837355,5IK6RX002974-02,5,IK6,VA,2974,2,,,8528166,"KLUTE, GLENN ",Not Applicable,VA PUGET SOUND HEALTHCARE SYSTEM,,2019,,
Headborne autopatchers for autonomous intracellular recordings in freely moving; behaving rats,NINDS,9724761,1R21NS111196-01,1,R21,NS,111196,1,,,11670212,"KODANDARAMAIAH, SUHASA B",Not Applicable,UNIVERSITY OF MINNESOTA,,2019,390144,
Image-guided robot for high-throughput microinjection of Drosophila embryos,OD,9806367,1R21OD028214-01,1,R21,OD,28214,1,,,11670212,"KODANDARAMAIAH, SUHASA B ","GOHL, DARYL ",UNIVERSITY OF MINNESOTA,,2019,184118,
High Throughput Sciences,NCI,9937092,2P30CA014051-49,2,P30,CA,14051,49,,6149,9801751,"KOEHLER, ANGELA NICOLE",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,,221411
Enzymatic Mechanisms of Genetic Recombination,NIGMS,9900789,5R01GM026017-44,5,R01,GM,26017,44,,,8005932,"KOLODNER, RICHARD D",Not Applicable,LUDWIG INSTITUTE  FOR CANCER RES  LTD,,2020,426795,
Pre-Operative Assessment of Fusion-Related Bone Failure,NIAMS,9783494,5R44AR064613-03,5,R44,AR,64613,3,,,8692094,"KOPPERDAHL, DAVID ",Not Applicable,"O. N. DIAGNOSTICS, LLC",,2019,578277,
Core B: Small Animal Radiation Core,NCI,9773988,5P01CA210944-03,5,P01,CA,210944,3,,5573,2090001,"KOUMENIS, CONSTANTINOS ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,,183888
Development of multiplexed autoantibody test on pGOLD platform for Diagnosis and Screening of Type 1 Diabetes,NIDDK,9568752,5R44DK107203-03,5,R44,DK,107203,3,,,16302821,"KOZMA, LYNN ",Not Applicable,"NIRMIDAS BIOTECH, INC.",,2018,804811,
Next Generation of Surgical Imaging and Robotics for Supervised Autonomous Soft Tissue Surgery,NIBIB,9618594,5R01EB020610-05,5,R01,EB,20610,5,,,11525806,"KRIEGER, AXEL  ","HSIEH, MICHAEL HARRISON;KANG, JIN U","UNIV OF MARYLAND, COLLEGE PARK",,2019,318634,
Development and Pre-Clinical Evaluation of a Robotic System for Supervised Autonomous Tumor Surgery,NIBIB,9569656,5R21EB024707-02,5,R21,EB,24707,2,,,11525806,"KRIEGER, AXEL ",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK",,2018,227724,
Functional Resistance Training during Gait: A Novel Intervention to Improve Knee Function after ACL Reconstruction,NICHD,9534715,5R21HD092614-02,5,R21,HD,92614,2,,,11572652,"KRISHNAN, CHANDRAMOULI  ","PALMIERI-SMITH, RIANN MARIE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2018,195000,
Didactic Interaction,NICHD,9967677,1P2CHD101913-01,1,P2C,HD,101913,1,,7788,11013278,"KU, JOY P",Not Applicable,STANFORD UNIVERSITY,,2020,,180949
Targeting Anaphase Catastrophe to Combat Lung Cancer,NCI,9673677,5R01CA190722-05,5,R01,CA,190722,5,,,1869259,"KURIE, JONATHAN M",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR,,2019,355432,
Identification of drugs that induce terminal transcriptional silencing of latent HIV-1 infection,NIAID,9743693,5R61AI133679-03,5,R61,AI,133679,3,,,7553789,"KUTSCH, OLAF ",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,2019,657007,
Structural and functional consequences of disease SNP's on the transcriptome,NIGMS,9773104,5R01GM101237-07,5,R01,GM,101237,7,,,8619611,"LAEDERACH, ALAIN T",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL,,2019,392644,
Elucidating the logic of proprioceptive networks,NINDS,9841466,5R01NS100741-03,5,R01,NS,100741,3,,,8706877,"LAI, HELEN ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER,,2020,354375,
Pathogenesis and Novel Therapeutics to Reverse T Cell Exhaustion in Persistent Viral Infections,NIAID,9823854,5R21AI141842-02,5,R21,AI,141842,2,,,10438126,"LAIRSON, LUKE LEE",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,2020,241875,
A new high-throughput gastrointestinal tract explant platform for drug formulation discovery and metabolic disease modulation,NIBIB,9926852,5R01EB000244-41,5,R01,EB,244,41,,,1887697,"LANGER, ROBERT SAMUEL ","TRAVERSO, CARLO GIOVANNI",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2020,1057438,
SARRP for Multimodality Image-Guided Stereotactic Irradiation,OD,9492987,1S10OD025046-01,1,S10,OD,25046,1,,,1863924,"LAWRENCE, THEODORE S",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2018,600000,
JP LAWSON CONSULTING:1238760 [18-006713],NIDA,9932233,271201400012I-P00001-27100005-1,,N02,DA,,,,,15993231,"LAWSON, JON ",Not Applicable,,,2019,9000,
Decoding / encoding somatosensation from the hand area of the human primary somatosensory (S1) cortex for a closed-loop motor / sensory brain-machine interface (BMI),NINDS,10055151,1K23NS114190-01A1,1,K23,NS,114190,1,A1,,14755844,"LEE, BRIAN ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2020,192151,
Mechanistic Study of Developmental Neurotoxicity on 3D Cultured Stem Cell Microarrays,NIEHS,9535737,5R01ES025779-04,5,R01,ES,25779,4,,,7782548,"LEE, MOO-YEAL ",Not Applicable,CLEVELAND STATE UNIVERSITY,,2018,327375,
Lightweight Powered Prosthesis for above-knee amputees,NICHD,10013276,5R01HD098154-02,5,R01,HD,98154,2,,,14267743,"LENZI, TOMMASO ",Not Applicable,UNIVERSITY OF UTAH,,2020,439824,
Development of a Micro-ECoG Neuroprosthesis for Motor Rehabilitation in a Chronic Corticospinal Stroke Injury,NINDS,9831651,5R01NS101013-03,5,R01,NS,101013,3,,,2084466,"LEUTHARDT, ERIC CLAUDE ","MORAN, DANIEL WILLIAM",WASHINGTON UNIVERSITY,,2020,595400,
The Neural Mechanisms of a Contralesionally-Driven Brain Computer Interface for Motor Rehabilitation of Chronic Stroke,NINDS,9670878,5R21NS102696-02,5,R21,NS,102696,2,,,2084466,"LEUTHARDT, ERIC CLAUDE ","CARTER, ALEXANDRE R",WASHINGTON UNIVERSITY,,2019,190625,
Collagenolysis of the transverse carpal ligament,NIAMS,9966675,1R21AR075402-01A1,1,R21,AR,75402,1,A1,,7728105,"LI, ZONG-MING ",Not Applicable,UNIVERSITY OF ARIZONA,,2020,168850,
Mutant Mouse/Viral Vector Core,NIDA,9944638,5P30DA033934-07,5,P30,DA,33934,7,,5957,1882430,"LICHTMAN, ARON H",Not Applicable,VIRGINIA COMMONWEALTH UNIVERSITY,,2020,,305774
Interdisciplinary Predoctoral Neuroscience Training Program,NIMH,9743214,5T32MH020068-19,5,T32,MH,20068,19,,,1876238,"LIPSCOMBE, DIANE  ","SHEINBERG, DAVID L",BROWN UNIVERSITY,,2019,385178,
Non-invasive Neuromodulation Unit (NNU),NIMH,10011378,1ZIAMH002955-04,1,ZIA,MH,2955,4,,,14771945,"LISANBY, SARAH ",Not Applicable,NATIONAL INSTITUTE OF MENTAL HEALTH,,2019,3375712,
13 Functional Proteomics Reverse Phase Protein Array Core,NCI,9997809,5P30CA016672-44,5,P30,CA,16672,44,,5715,1977891,"LU, YILING ",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR,,2020,,288947
An implantable wireless tactile feedback system,NINDS,9920792,5R01NS107550-02,5,R01,NS,107550,2,,,2108984,"LUCAS, TIMOTHY H",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2020,624302,
Pelvic Floor Disorders Network Clinical Site Application: The San Diego Pelvic Floor Consortium,NICHD,9980474,5UG1HD054214-15,5,UG1,HD,54214,15,,,7895938,"LUKACZ, EMILY S. ","MENEFEE, SHAWN A","UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2020,247535,
Task-specific upper-extremity robotic training for stroke neurorehabilitation,VA,9857486,5I01RX001966-05,5,I01,VA,1966,5,,,8774023,"LUM, PETER S.",Not Applicable,U.S. DEPT/VETS AFFAIRS MEDICAL CENTER,,2020,,
Access to parietal action representations after stroke lesions in visual cortex,NEI,9868307,5R01EY028535-02,5,R01,EY,28535,2,,,10207201,"MAHON, BRADFORD ZACK ","SAHIN, BOGACHAN ",CARNEGIE-MELLON UNIVERSITY,,2020,423007,
Genome-wide structural organization of proteins within human gene regulatory complexes,NIGMS,9840489,5R01GM125722-03,5,R01,GM,125722,3,,,8616002,"MAHONY, SHAUN AENGUS ","PUGH, B FRANKLIN",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,,2020,319962,
Development of Ryan Companion Robot for Assisting Elderly People with Alzheimer's Disease,NIA,9950170,4R44AG059483-02,4,R44,AG,59483,2,,,11355283,"MAHOOR, MOHAMMAD ",Not Applicable,"DREAM FACE TECHNOLOGIES, LLC",,2019,667627,
Development of Serious Games and Physical Activities Instructed by a Social Robot for Improving the Well-being of Elderly Individuals with Alzheimer's Disease and Dementia,NIA,10020305,5R44AG066439-02,5,R44,AG,66439,2,,,11355283,"MAHOOR, MOHAMMAD ",Not Applicable,"DREAM FACE TECHNOLOGIES, LLC",,2020,536476,
Structural Biology,NCI,9934920,2P30CA030199-39,2,P30,CA,30199,39,,5579,3152673,"MARASSI, FRANCESCA M",Not Applicable,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,,2020,,255364
Biomedical Technology Program,NCI,9993310,5P30CA093373-18,5,P30,CA,93373,18,,8705,6647839,"MARCU, LAURA ",Not Applicable,UNIVERSITY OF CALIFORNIA AT DAVIS,,2020,,33310
Fluorescence lifetime imaging/spectroscopy system for robotic cancer surgery guid,NCI,9781373,5R01CA187427-06,5,R01,CA,187427,6,,,6647839,"MARCU, LAURA  ","FARWELL, DONALD GREGORY;SORGER, JONATHAN M",UNIVERSITY OF CALIFORNIA AT DAVIS,,2019,188788,
WHM CONSULTING LLC:1197753 [18-006751],NIDA,9915358,271201400017I-P00002-27100005-1,,N02,DA,,,,,15974960,"MARTIN, WILLIAM ",Not Applicable,WHM CONSULTING,,2019,23000,
Simulating Tendon Reconstructive Surgeries using a Virtual Hand Model and Robotic Testbed,NIAMS,9968082,5R21AR076269-02,5,R21,AR,76269,2,,,8473240,"MASCARO, STEPHEN ",Not Applicable,UNIVERSITY OF UTAH,,2020,134200,
A novel robotic wastewater analysis system to quantify opioid exposure and treatment in residential communities,NIDA,9991436,1R44DA051106-01,1,R44,DA,51106,1,,,14484808,"MATUS GARCIA, MARIANA G ","CHAI, PETER R","BIOBOT ANALYTICS, INC.",,2020,212327,
Optimizing impedance control of an ankle exoskeleton to improve post-stroke walking mechanics and energetics,NICHD,9918154,5F31HD097872-02,5,F31,HD,97872,2,,,14940939,"MCCAIN, EMILY ",Not Applicable,NORTH CAROLINA STATE UNIVERSITY RALEIGH,,2020,41422,
Barcoding a Salmonella gene knockout library,NIAID,9746113,1R03AI139557-01A1,1,R03,AI,139557,1,A1,,1878830,"MCCLELLAND, MICHAEL ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2019,78041,
The Microscopic Imaging of Epigenetic Landscape- NeuroDevelopment (MIEL-ND) assay: a high throughput platform to screen compounds for neurodevelopmental effects,NIMH,9623072,1R41MH119621-01A1,1,R41,MH,119621,1,A1,,1882226,"MCDONOUGH, PATRICK M",Not Applicable,"VALA SCIENCES, INC.",,2018,300000,
Rebuilding a Micro-Organ: Using Synthetic Morphological Tools to Probe and Engineer the Structure and Function of Pancreatic Islets,NIDDK,9992282,1F32DK123939-01A1,1,F32,DK,123939,1,A1,,12640096,"MCKEITHAN, WESLEY LAWRENCE",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2020,65310,
Research Services Core (RSC),NCATS,10011454,1ZICTR000242-05,1,ZIC,TR,242,5,,,15198057,"MICHAEL, SAMUEL ",Not Applicable,,,2019,8364044,
HEAL: New Chemical Structures for Pain; Addiction and Overdose Targets,NCATS,9994052,1ZIATR000344-02,1,ZIA,TR,344,2,,,15198057,"MICHAEL, SAMUEL ",Not Applicable,,,2019,5893563,
A primate model of an intra-cortically controlled FES prosthesis for grasp,NINDS,9761600,5R01NS053603-13,5,R01,NS,53603,13,,,2080564,"MILLER, LEE E ","MUSSA-IVALDI, FERDINANDO ALESSANDRO;PERREAULT, ERIC JON;SOLLA, SARA A",NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,624666,
Quantitative High Throughput Screening for Small Molecules Targeting CD47 in Cancer,NCI,9786065,7U01CA218259-02,7,U01,CA,218259,2,,,11119905,"MILLER, THOMAS W",Not Applicable,INSTITUT JEAN PAOLI & IRENE CALMETTES CENTRE REGIONAL DE LUTTE CONTRE LE CANCER,,2020,242998,
Advancing predictive physical modeling through focused development of model systems to drive new modeling innovations,NIGMS,9932112,3R01GM124270-02S1,3,R01,GM,124270,2,S1,,10175415,"MOBLEY, DAVID LOWELL",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2019,66531,
Advancing predictive physical modeling through focused development of model systems to drive new modeling innovations,NIGMS,9778863,5R01GM124270-02,5,R01,GM,124270,2,,,10175415,"MOBLEY, DAVID LOWELL",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2019,278369,
Shared Resource 06: DNA Resource,NCI,10063023,3P30CA006516-55S4,3,P30,CA,6516,55,S4,5383,1895675,"MOHR, STEPHANIE E",Not Applicable,DANA-FARBER CANCER INST,,2020,,2949
Shared Resource 06: DNA Resource,NCI,9842676,5P30CA006516-55,5,P30,CA,6516,55,,5383,1895675,"MOHR, STEPHANIE E",Not Applicable,DANA-FARBER CANCER INST,,2020,,241246
Shared Resource: Microscopy; Imaging and Cytometry Resources,NCI,9836630,5P30CA022453-38,5,P30,CA,22453,38,,7555,1979493,"MOIN, KAMIAR ",Not Applicable,WAYNE STATE UNIVERSITY,,2020,,323931
Dynamic Haptic Robotic Training for Central Venous Catheter Insertion,NHLBI,9816965,2R01HL127316-04A1,2,R01,HL,127316,4,A1,,11395079,"MOORE, JASON ZACHARY ","MILLER, SCARLETT ",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,,2019,569636,
Validating Neuroelectric Biomarkers of Concussion Recovery,NINDS,9706067,5R03NS106547-02,5,R03,NS,106547,2,,,15038320,"MOORE, ROBERT DAVIS",Not Applicable,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,,2019,73250,
U2C Experimental Core,NIEHS,9981749,5U2CES030163-03,5,U2C,ES,30163,3,,6969,1887669,"MORGAN, EDWARD THOMAS",Not Applicable,EMORY UNIVERSITY,,2020,,675273
Fiber-Optic Sensor System for Sleep Disorder Monitoring,NHLBI,9774962,1R43HL147650-01,1,R43,HL,147650,1,,,9165091,"MOSLEHI, BEHZAD ",Not Applicable,INTELLIGENT FIBER OPTIC SYSTEMS CORP,,2019,134132,
Novel Ultrasound Localization of Pulmonary Nodules during Video Assisted Thoracic Surgery to Improve Surgical Resection,NCI,9870900,5R21CA231503-02,5,R21,CA,231503,2,,,12579511,"MULLER, MARIE  ","EGAN, THOMAS M.",NORTH CAROLINA STATE UNIVERSITY RALEIGH,,2020,159685,
Increased sensitivity of minimal residual disease monitoring using peripheral blood in pediatric patients with acute lymphoblastic leukemia,NCI,10012271,4R44CA224848-02,4,R44,CA,224848,2,,,14483466,"MULLER, ROLF ",Not Applicable,"BIOFLUIDICA, INC",,2019,837994,
Parallel and high throughput isolation of cancer cell derived extracellular vesicles,NCI,9620946,1R43CA232848-01,1,R43,CA,232848,1,,,14483466,"MULLER, ROLF ",Not Applicable,"BIOFLUIDICA, INC",,2018,239138,
Parallelized Cell Isolation in a Well Plate Format using Ratcheting Cytometry,NHLBI,9846105,1R43HL149552-01,1,R43,HL,149552,1,,,14372441,"MURRAY, COLEMAN ",Not Applicable,"FERROLOGIX, INC.",,2019,225000,
Understanding and Using Variation in Source Materials for MSC Fabrication,NIDCR,9995457,5R01DE029634-02,5,R01,DE,29634,2,,,8218953,"MUSCHLER, GEORGE F",Not Applicable,CLEVELAND CLINIC LERNER COM-CWRU,,2020,622650,
Receptor-mediated clearance of synaptic tau as a novel therapy for Alzheimer's disease.,NIA,9913433,5K01AG055694-04,5,K01,AG,55694,4,,,9383432,"MYEKU, NATURA ",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2020,124551,
Exo-Seq for the single molecule of DNA molecules,NHGRI,9733796,1R43HG010551-01,1,R43,HG,10551,1,,,15252800,"NAGEL, AARON C",Not Applicable,"DIGITAL NANOGENETICS, LLC",,2019,342831,
Socially-Assistive Robots for Alzheimer?s (SARA),NIA,9909512,1R43AG066288-01,1,R43,AG,66288,1,,,12408709,"NIEHAUS, JAMES M",Not Applicable,"CHARLES RIVER ANALYTICS, INC.",,2019,535315,
Rodent Cancer Models Core,NCI,9853600,2P30CA014236-46,2,P30,CA,14236,46,,7815,1920922,"NORTON, JOHN N.",Not Applicable,DUKE UNIVERSITY,,2020,,491989
Integrated multichannel system for transcranial magnetic stimulation and parallel magnetic resonance imaging,NIMH,9728040,5R01MH111829-04,5,R01,MH,111829,4,,,11119767,"NUMMENMAA, AAPO ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2019,817945,
Method Development: Efficient Computer Vision Based Algorithms,NCI,10014371,1ZIABC010442-18,1,ZIA,CA,10442,18,,,8300611,"NUSSINOV, RUTH ",Not Applicable,,,2019,171764,
CIP Microbiome and Genetics Core,NCI,10015060,1ZICBC011237-11,1,ZIC,CA,11237,11,,,10274554,"OHUIGIN, COLM ",Not Applicable,,,2019,1964469,
High-Throughput Droplet-Scale Functional Screening of DNA-Encoded Combinatorial Libraries,NIGMS,9850274,5R01GM120491-05,5,R01,GM,120491,5,,,6944867,"PAEGEL, BRIAN M",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2020,301422,
High Throughput Screening of Pharmaceuticals Targeting Heart Cell Contractile Function,NHLBI,9776252,2R44HL137603-02A1,2,R44,HL,137603,2,A1,,1899370,"PALMER, BRADLEY M",Not Applicable,"IONOPTIX, LLC",,2019,754124,
Smart template for prostate biopsy guidance,NCI,9981861,4R44CA224853-02,4,R44,CA,224853,2,,,10141636,"PARK, JESUNG ",Not Applicable,"PHYSICAL SCIENCES, INC",,2019,597435,
Error-enhanced Learning & Recovery in 2 & 3 Dimensions,NINDS,10053077,2R01NS053606-10A1,2,R01,NS,53606,10,A1,,8289805,"PATTON, JAMES LANPHIER",Not Applicable,REHABILITATION INSTITUTE OF CHICAGO D/B/A SHIRLEY RYAN ABILITYLAB,,2020,543401,
Circuit dynamics of sensorimotor integration and decision making in octopus,NINDS,9949982,1UF1NS115817-01,1,UF1,NS,115817,1,,,8895970,"PELLED, GALIT ",Not Applicable,MICHIGAN STATE UNIVERSITY,,2020,2323583,
Flow Cytometry Core,NIAID,10018442,1ZICAI005101-11,1,ZIC,AI,5101,11,,,16169734,"PERFETTO, STEPHEN ",Not Applicable,,,2019,2613776,
Transcranial magnetic stimulation with enhanced focality and depth (fdTMS),NIMH,9390626,1RF1MH114268-01,1,RF1,MH,114268,1,,,8573196,"PETERCHEV, ANGEL V",Not Applicable,DUKE UNIVERSITY,,2017,1564107,
High Throughput of Protein-based Voltage Probes,NINDS,9769176,5U01NS103517-03,5,U01,NS,103517,3,,,1862562,"PIERIBONE, VINCENT A",Not Applicable,"JOHN B. PIERCE LABORATORY, INC.",,2019,789427,
Patient-Centered Pain Care Using Artificial Intelligence and Mobile Health Tools,VA,10181034,5I01HX001460-05,5,I01,VA,1460,5,,,6400536,"PIETTE, JOHN D. ","HEAPY, ALICIA ",VETERANS HEALTH ADMINISTRATION,,2020,,
Patient-Centered Pain Care Using Artificial Intelligence and Mobile Health Tools,VA,10179467,5I01HX001460-04,5,I01,VA,1460,4,,,6400536,"PIETTE, JOHN D. ","HEAPY, ALICIA ",VETERANS HEALTH ADMINISTRATION,,2020,,
Patient-Centered Pain Care Using Artificial Intelligence and Mobile Health Tools,VA,10176571,5I01HX001460-03,5,I01,VA,1460,3,,,6400536,"PIETTE, JOHN D. ","HEAPY, ALICIA ",VETERANS HEALTH ADMINISTRATION,,2020,,
Patient-Centered Pain Care Using Artificial Intelligence and Mobile Health Tools,VA,9145506,5I01HX001460-02,5,I01,VA,1460,2,,,6400536,"PIETTE, JOHN D. ","HEAPY, ALICIA ",VETERANS HEALTH ADMINISTRATION,,2020,,
Signal Processing And Instrumentation Section,CIT,10018389,1ZIACT000261-23,1,ZIA,CT,261,23,,,6569827,"POHIDA, THOMAS J",Not Applicable,,,2019,1930370,
Structure and Function of DNA Polymerase Theta,NIGMS,9869929,5R01GM130889-02,5,R01,GM,130889,2,,,9640800,"POMERANTZ, RICHARD T",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH,,2020,392517,
Development of the Osseointegrated Neural Interface for prosthetic control into a pre-clinical translational sheep model.,VA,9836222,1I01RX003129-01A1,1,I01,VA,3129,1,A1,,12143060,"POORE, SAMUEL ",Not Applicable,WM S. MIDDLETON MEMORIAL VETERANS HOSP,,2020,,
Robotics may help unravel the biological determinants of substance use disorders: studies in zebrafish,NIDA,9536748,5R21DA042558-02,5,R21,DA,42558,2,,,11145110,"PORFIRI, MAURIZIO ",Not Applicable,NEW YORK UNIVERSITY,,2018,173125,
Developing a Therapeutics Platform for Adenoid Cystic Carcinoma,NIDCR,9933329,1R21DE029444-01,1,R21,DE,29444,1,,,1884199,"POSNER, MARSHALL R",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,2020,254250,
Locomotor learning in infants at high risk for cerebral palsy,NICHD,9887789,1R01HD098364-01A1,1,R01,HD,98364,1,A1,,11287018,"PROSSER, LAURA ANNE ","KOLOBE, HLAPANG A.;SMITH, BETH A",CHILDREN'S HOSP OF PHILADELPHIA,,2020,807249,
Plasma proteomics in CHS and population biology,NHLBI,9976578,5R01HL144483-02,5,R01,HL,144483,2,,,1878095,"PSATY, BRUCE M ","GERSZTEN, ROBERT E;TRACY, RUSSELL P",UNIVERSITY OF WASHINGTON,,2020,2083439,
Rapid?Response Macromolecular Crystallography,NIGMS,9749179,5P30GM124169-03,5,P30,GM,124169,3,,6884,2240376,"RALSTON, CORIE Y",Not Applicable,UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,,2019,,357385
SeeTrue: The Microinjection Colored Needle For Enhanced Visibility and Anti-Clogging Capabilities,NIGMS,9680203,1R43GM131486-01,1,R43,GM,131486,1,,,15458493,"RAND, KINNERET ",Not Applicable,"SEETRUE TECHNOLOGY, LLC",,2019,148517,
EFFECTIVENESS OF ROBOT-ASSISTED HAND MOVEMENT TRAINING AFTER STROKE,NICHD,9925839,5R01HD062744-08,5,R01,HD,62744,8,,,9776158,"REINKENSMEYER, DAVID JAY",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE,,2020,305956,
High-throughput disease modeling to uncover shared and unique characteristics among neurodegenerative diseases,NINDS,9906992,1F31NS111851-01A1,1,F31,NS,111851,1,A1,,14412823,"RESNICK, SAMUEL JACKSON",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2019,45016,
Multi-Frequency Tracker for Control of Handheld Surgical Robotic Systems,NIBIB,9839551,5R01EB024564-03,5,R01,EB,24564,3,,,6183690,"RIVIERE, CAMERON N",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2020,341527,
